Role,Pool,SA2,Status,Industry,ATT (index pts),Pre-MSPE,p-value,Sig,N donors
spillover,All Australia exc. NSW,Redfern - Chippendale,Spillover,Total,-8.1 pp,0.16,—,,1614
spillover,All Australia exc. NSW,Redfern - Chippendale,Spillover,Accommodation and food services,+0.1 pp,3.62,—,,1583
spillover,All Australia exc. NSW,Redfern - Chippendale,Spillover,Arts and recreation services,+4.9 pp,21.99,—,,1421
spillover,All Australia exc. NSW,Redfern - Chippendale,Spillover,Retail trade,+6.9 pp,0.27,—,,1589
spillover,All Australia exc. NSW,Redfern - Chippendale,Spillover,Population,-26.5 pp,0.37,—,,1616
spillover,All Australia exc. NSW,Redfern - Chippendale,Spillover,Income: Total,-5.2 pp,14.41,—,,1615
spillover,All Australia exc. NSW,Redfern - Chippendale,Spillover,Income: Retail trade,-14.0 pp,30.21,—,,1591
spillover,All Australia exc. NSW,Redfern - Chippendale,Spillover,Income: Accommodation and food services,-6.4 pp,0.28,—,,1586
spillover,All Australia exc. NSW,Redfern - Chippendale,Spillover,Income: Arts and recreation services,-13.5 pp,3.33,—,,1425
spillover,All Australia exc. NSW,Waterloo - Beaconsfield,Spillover,Total,-7.9 pp,7.49,—,,1611
spillover,All Australia exc. NSW,Waterloo - Beaconsfield,Spillover,Accommodation and food services,-0.7 pp,3.13,—,,1583
spillover,All Australia exc. NSW,Waterloo - Beaconsfield,Spillover,Arts and recreation services,+27.0 pp,9.05,—,,1417
spillover,All Australia exc. NSW,Waterloo - Beaconsfield,Spillover,Retail trade,-2.9 pp,1.00,—,,1584
spillover,All Australia exc. NSW,Waterloo - Beaconsfield,Spillover,Population,-31.4 pp,1.14,—,,1616
spillover,All Australia exc. NSW,Waterloo - Beaconsfield,Spillover,Income: Total,-3.7 pp,6.17,—,,1615
spillover,All Australia exc. NSW,Waterloo - Beaconsfield,Spillover,Income: Retail trade,-11.0 pp,4.80,—,,1591
spillover,All Australia exc. NSW,Waterloo - Beaconsfield,Spillover,Income: Accommodation and food services,-10.4 pp,0.37,—,,1585
spillover,All Australia exc. NSW,Waterloo - Beaconsfield,Spillover,Income: Arts and recreation services,-8.2 pp,19.81,—,,1425
spillover,All Australia exc. NSW,Erskineville - Alexandria,Spillover,Total,-6.9 pp,0.00,—,,1614
spillover,All Australia exc. NSW,Erskineville - Alexandria,Spillover,Accommodation and food services,-5.3 pp,3.73,—,,1583
spillover,All Australia exc. NSW,Erskineville - Alexandria,Spillover,Arts and recreation services,+17.0 pp,0.82,—,,1421
spillover,All Australia exc. NSW,Erskineville - Alexandria,Spillover,Retail trade,+4.3 pp,4.39,—,,1588
spillover,All Australia exc. NSW,Erskineville - Alexandria,Spillover,Population,-13.6 pp,0.05,—,,1616
spillover,All Australia exc. NSW,Erskineville - Alexandria,Spillover,Income: Total,-2.2 pp,1.01,—,,1613
spillover,All Australia exc. NSW,Erskineville - Alexandria,Spillover,Income: Retail trade,-10.5 pp,0.07,—,,1591
spillover,All Australia exc. NSW,Erskineville - Alexandria,Spillover,Income: Accommodation and food services,-9.5 pp,20.37,—,,1585
spillover,All Australia exc. NSW,Erskineville - Alexandria,Spillover,Income: Arts and recreation services,-8.0 pp,339.48,—,,1425
spillover,All Australia exc. NSW,Leichhardt - Annandale,Spillover,Total,-7.1 pp,0.17,—,,1616
spillover,All Australia exc. NSW,Leichhardt - Annandale,Spillover,Accommodation and food services,-6.7 pp,15.41,—,,1586
spillover,All Australia exc. NSW,Leichhardt - Annandale,Spillover,Arts and recreation services,+2.7 pp,9.44,—,,1420
spillover,All Australia exc. NSW,Leichhardt - Annandale,Spillover,Retail trade,-4.4 pp,0.24,—,,1588
