pool_id,pool_label,treated_code,treated_name,treatment_status,unit_role,outcome_type,industry,att_index_pts,pre_mspe,n_donors,base_value,att_pct,att_raw
P1,All Australia (exc. Greater Sydney),117031336,Surry Hills,Partial,treated,Employment,Accommodation and food services,-1.0986600867666614,0.36305318448597435,1844,2.481,-0.010986600867666613,-0.027257756752680867
P1,All Australia (exc. Greater Sydney),117031336,Surry Hills,Partial,treated,Employment,Retail trade,-4.091458423724345,2.769537457660351,1849,1.266,-0.04091458423724345,-0.05179786364435021
P1,All Australia (exc. Greater Sydney),117031336,Surry Hills,Partial,treated,Employment,Total,1.4779812828813992,0.21425383453648705,1874,19.175,0.014779812828813991,0.2834029109925083
P1,All Australia (exc. Greater Sydney),117031336,Surry Hills,Partial,treated,Median income,Accommodation and food services,-8.420806873731967,10.775117595374084,1845,7700,-0.08420806873731967,-648.4021292773615
P1,All Australia (exc. Greater Sydney),117031336,Surry Hills,Partial,treated,Median income,Retail trade,-9.191451813656895,11.63535135503755,1844,17811,-0.09191451813656895,-1637.0894825304297
P1,All Australia (exc. Greater Sydney),117031336,Surry Hills,Partial,treated,Median income,Total,-10.093407129316796,5.291921881579688,1870,22667,-0.10093407129316796,-2287.872594002238
P1,All Australia (exc. Greater Sydney),117031336,Surry Hills,Partial,treated,Population,Population,-0.4275892509681256,0.00202554879086198,1870,16961,-0.004275892509681256,-72.52341285670379
P1,All Australia (exc. Greater Sydney),117031336,Surry Hills,Partial,treated,Rent,Rent (monthly avg),10.438687746349462,NA,NA,1834,0.10438687746349462,191.44553326804913
P1,All Australia (exc. Greater Sydney),117031337,Sydney - Haymarket - The Rocks,Full,treated,Employment,Accommodation and food services,7.6120606280397025,0.1547902811715983,1844,10.362,0.07612060628039702,0.7887617222774739
P1,All Australia (exc. Greater Sydney),117031337,Sydney - Haymarket - The Rocks,Full,treated,Employment,Arts and recreation services,22.0651653565616,1.4655343887813972,1630,0.622,0.220651653565616,0.13724532851781315
P1,All Australia (exc. Greater Sydney),117031337,Sydney - Haymarket - The Rocks,Full,treated,Employment,Retail trade,5.037460797765962,7.997799129390566,1849,2.829,0.05037460797765962,0.14250976596879908
P1,All Australia (exc. Greater Sydney),117031337,Sydney - Haymarket - The Rocks,Full,treated,Employment,Total,8.883323008050633,2.2016448861843703,1871,43.906,0.08883323008050632,3.9003117999147103
P1,All Australia (exc. Greater Sydney),117031337,Sydney - Haymarket - The Rocks,Full,treated,Median income,Accommodation and food services,3.2674819806250404,0.01998031000747047,1842,5669,0.0326748198062504,185.23355348163352
