year_start,treated_index,synth_index,gap,pool_id,pool_label,treated_code,treated_name,treatment_status,industry,pre_mspe
2017,111.85983827493261,116.10246764298215,-4.242629368049535,P4,Capital cities only (exc. Greater Sydney),117031336,Surry Hills,Partial,Accommodation and food services,0.5259440246435303
2018,117.40469772814785,119.8149064648745,-2.410208736726645,P4,Capital cities only (exc. Greater Sydney),117031336,Surry Hills,Partial,Accommodation and food services,0.5259440246435303
2011,90.79229122055673,94.22285366997386,-3.430562449417124,P4,Capital cities only (exc. Greater Sydney),117031336,Surry Hills,Partial,Arts and recreation services,11.76874441030896
2012,100,96.56944172163377,3.4305582783662345,P4,Capital cities only (exc. Greater Sydney),117031336,Surry Hills,Partial,Arts and recreation services,11.76874441030896
2013,100,99.9999999999241,7.59001750338939e-11,P4,Capital cities only (exc. Greater Sydney),117031336,Surry Hills,Partial,Arts and recreation services,11.76874441030896
2014,97.00214132762314,101.44552044863819,-4.443379121015056,P4,Capital cities only (exc. Greater Sydney),117031336,Surry Hills,Partial,Arts and recreation services,11.76874441030896
2015,92.07708779443254,99.92589362408408,-7.848805829651539,P4,Capital cities only (exc. Greater Sydney),117031336,Surry Hills,Partial,Arts and recreation services,11.76874441030896
2016,98.92933618843684,103.68275890722137,-4.753422718784535,P4,Capital cities only (exc. Greater Sydney),117031336,Surry Hills,Partial,Arts and recreation services,11.76874441030896
2017,102.99785867237686,105.94075922844341,-2.9429005560665473,P4,Capital cities only (exc. Greater Sydney),117031336,Surry Hills,Partial,Arts and recreation services,11.76874441030896
2018,109.63597430406853,112.40925903965281,-2.7732847355842836,P4,Capital cities only (exc. Greater Sydney),117031336,Surry Hills,Partial,Arts and recreation services,11.76874441030896
2011,105.4140127388535,103.7837426654889,1.6302700733645992,P4,Capital cities only (exc. Greater Sydney),117031336,Surry Hills,Partial,Retail trade,2.657780404412791
2012,100.79617834394904,102.42644835125377,-1.6302700073047305,P4,Capital cities only (exc. Greater Sydney),117031336,Surry Hills,Partial,Retail trade,2.657780404412791
2013,100,99.99999999994087,5.913136646995554e-11,P4,Capital cities only (exc. Greater Sydney),117031336,Surry Hills,Partial,Retail trade,2.657780404412791
2014,104.93630573248409,100.49799448585152,4.438311246632566,P4,Capital cities only (exc. Greater Sydney),117031336,Surry Hills,Partial,Retail trade,2.657780404412791
2015,101.35350318471338,98.47596530217105,2.8775378825423275,P4,Capital cities only (exc. Greater Sydney),117031336,Surry Hills,Partial,Retail trade,2.657780404412791
2016,100.63694267515923,102.87013810141653,-2.2331954262572964,P4,Capital cities only (exc. Greater Sydney),117031336,Surry Hills,Partial,Retail trade,2.657780404412791
2017,94.18789808917198,106.77655308937693,-12.588655000204952,P4,Capital cities only (exc. Greater Sydney),117031336,Surry Hills,Partial,Retail trade,2.657780404412791
2018,92.59554140127388,107.98332549625118,-15.387784094977306,P4,Capital cities only (exc. Greater Sydney),117031336,Surry Hills,Partial,Retail trade,2.657780404412791
2011,92.61353273755245,93.31588827182846,-0.702355534276009,P4,Capital cities only (exc. Greater Sydney),117031334,Pyrmont - Ultimo,Partial,Total,0.49330362009680706
2012,96.24293270107607,95.5405767061095,0.7023559949665668,P4,Capital cities only (exc. Greater Sydney),117031334,Pyrmont - Ultimo,Partial,Total,0.49330362009680706
2013,100,99.99999999989285,1.0714984455262311e-10,P4,Capital cities only (exc. Greater Sydney),117031334,Pyrmont - Ultimo,Partial,Total,0.49330362009680706
2014,104.57322633594748,105.7873852749124,-1.2141589389649141,P4,Capital cities only (exc. Greater Sydney),117031334,Pyrmont - Ultimo,Partial,Total,0.49330362009680706
2015,106.22834214845886,110.75101605086905,-4.52267390241019,P4,Capital cities only (exc. Greater Sydney),117031334,Pyrmont - Ultimo,Partial,Total,0.49330362009680706
2016,111.95969359839505,122.77974468201299,-10.82005108361794,P4,Capital cities only (exc. Greater Sydney),117031334,Pyrmont - Ultimo,Partial,Total,0.49330362009680706
2017,109.82582527813241,128.54234265422832,-18.716517376095908,P4,Capital cities only (exc. Greater Sydney),117031334,Pyrmont - Ultimo,Partial,Total,0.49330362009680706
2018,110.13131497355464,134.66650647410788,-24.53519150055324,P4,Capital cities only (exc. Greater Sydney),117031334,Pyrmont - Ultimo,Partial,Total,0.49330362009680706
2011,81.770460510618,81.69052730117721,0.07993320944078164,P4,Capital cities only (exc. Greater Sydney),117031334,Pyrmont - Ultimo,Partial,Accommodation and food services,0.006365834518353652
2012,86.30398472918158,86.38362360828722,-0.07963887910564438,P4,Capital cities only (exc. Greater Sydney),117031334,Pyrmont - Ultimo,Partial,Accommodation and food services,0.006365834518353652
2013,100,100.0000000033449,-3.344894139445387e-9,P4,Capital cities only (exc. Greater Sydney),117031334,Pyrmont - Ultimo,Partial,Accommodation and food services,0.006365834518353652
2014,104.50966356478168,115.981751457104,-11.472087892322321,P4,Capital cities only (exc. Greater Sydney),117031334,Pyrmont - Ultimo,Partial,Accommodation and food services,0.006365834518353652
2015,107.73085182534001,127.48173181646031,-19.7508799911203,P4,Capital cities only (exc. Greater Sydney),117031334,Pyrmont - Ultimo,Partial,Accommodation and food services,0.006365834518353652
2016,116.70245764733954,142.25521708492468,-25.552759437585138,P4,Capital cities only (exc. Greater Sydney),117031334,Pyrmont - Ultimo,Partial,Accommodation and food services,0.006365834518353652
